workforce,staff_N,year,scenario,oncosts,structure,cost_per_head,total_cost,exeter_saving_per_yr,extra_posts_at_exeter_avg
E&R only,750,2025-26,bottom,salary only,Exeter,56181,42135507,0,0.0
E&R only,750,2025-26,bottom,salary only,Bristol,53755,40316330,1819177,32.4
E&R only,750,2025-26,bottom,salary only,Leeds,55722,41791817,343690,6.1
E&R only,750,2025-26,bottom,salary only,Cardiff,54373,40779933,1355574,24.1
E&R only,750,2025-26,bottom,salary only,Birmingham,51350,38512734,3622773,64.5
E&R only,750,2025-26,bottom,salary only,York,51621,38715988,3419518,60.9
E&R only,750,2025-26,bottom,salary only,Warwick,51967,38975459,3160047,56.2
E&R only,750,2025-26,bottom,salary only,Nottingham,52476,39356951,2778555,49.5
E&R only,750,2025-26,bottom,salary only,Southampton,52690,39517396,2618110,46.6
E&R only,750,2025-26,bottom,salary only,Liverpool,54417,40812951,1322556,23.5
E&R only,750,2025-26,bottom,salary only,Durham,52403,39302501,2833006,50.4
E&R only,750,2025-26,bottom,salary only,Sheffield,51371,38528058,3607449,64.2
E&R only,750,2025-26,bottom,incl,Exeter,72285,54213659,0,0.0
E&R only,750,2025-26,bottom,incl,Bristol,69132,51848729,2364930,32.7
E&R only,750,2025-26,bottom,incl,Leeds,71689,53766862,446796,6.2
E&R only,750,2025-26,bottom,incl,Cardiff,69935,52451413,1762246,24.4
E&R only,750,2025-26,bottom,incl,Birmingham,66005,49504054,4709605,65.2
E&R only,750,2025-26,bottom,incl,York,66358,49768285,4445374,61.5
E&R only,750,2025-26,bottom,incl,Warwick,66807,50105597,4108061,56.8
E&R only,750,2025-26,bottom,incl,Nottingham,67469,50601537,3612122,50.0
E&R only,750,2025-26,bottom,incl,Southampton,67747,50810115,3403543,47.1
E&R only,750,2025-26,bottom,incl,Liverpool,69992,52494336,1719322,23.8
E&R only,750,2025-26,bottom,incl,Durham,67374,50530751,3682908,50.9
E&R only,750,2025-26,bottom,incl,Sheffield,66032,49523975,4689684,64.9
E&R only,750,2025-26,even,salary only,Exeter,56936,42702256,0,0.0
E&R only,750,2025-26,even,salary only,Bristol,54943,41207476,1494780,26.3
E&R only,750,2025-26,even,salary only,Leeds,57301,42975559,-273303,-4.8
E&R only,750,2025-26,even,salary only,Cardiff,55236,41427120,1275136,22.4
E&R only,750,2025-26,even,salary only,Birmingham,52866,39649382,3052874,53.6
E&R only,750,2025-26,even,salary only,York,53158,39868491,2833765,49.8
E&R only,750,2025-26,even,salary only,Warwick,53842,40381181,2321075,40.8
E&R only,750,2025-26,even,salary only,Nottingham,54583,40937356,1764900,31.0
E&R only,750,2025-26,even,salary only,Southampton,54727,41045290,1656966,29.1
E&R only,750,2025-26,even,salary only,Liverpool,56331,42248075,454181,8.0
E&R only,750,2025-26,even,salary only,Durham,53744,40307964,2394292,42.1
E&R only,750,2025-26,even,salary only,Sheffield,52876,39656878,3045378,53.5
E&R only,750,2025-26,even,incl,Exeter,73267,54950433,0,0.0
E&R only,750,2025-26,even,incl,Bristol,70676,53007218,1943214,26.5
E&R only,750,2025-26,even,incl,Leeds,73741,55305727,-355294,-4.8
E&R only,750,2025-26,even,incl,Cardiff,71057,53292756,1657677,22.6
E&R only,750,2025-26,even,incl,Birmingham,67976,50981696,3968737,54.2
E&R only,750,2025-26,even,incl,York,68355,51266538,3683894,50.3
E&R only,750,2025-26,even,incl,Warwick,69244,51933035,3017398,41.2
E&R only,750,2025-26,even,incl,Nottingham,70208,52656063,2294370,31.3
E&R only,750,2025-26,even,incl,Southampton,70395,52796376,2154056,29.4
E&R only,750,2025-26,even,incl,Liverpool,72480,54359998,590435,8.1
E&R only,750,2025-26,even,incl,Durham,69117,51837853,3112580,42.5
E&R only,750,2025-26,even,incl,Sheffield,67989,50991441,3958991,54.0
E&R only,750,2025-26,top,salary only,Exeter,57692,43269005,0,0.0
E&R only,750,2025-26,top,salary only,Bristol,56131,42098621,1170384,20.3
E&R only,750,2025-26,top,salary only,Leeds,58879,44159301,-890296,-15.4
E&R only,750,2025-26,top,salary only,Cardiff,56099,42074307,1194698,20.7
E&R only,750,2025-26,top,salary only,Birmingham,54381,40786029,2482976,43.0
E&R only,750,2025-26,top,salary only,York,54695,41020994,2248012,39.0
E&R only,750,2025-26,top,salary only,Warwick,55716,41786902,1482103,25.7
E&R only,750,2025-26,top,salary only,Nottingham,56690,42517761,751244,13.0
E&R only,750,2025-26,top,salary only,Southampton,56764,42573183,695823,12.1
