﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2024/25 
Search:,


"UKPRN","HE provider","Contract salary < £23,581 ","Contract salary ≥ £23,581 and < £29,659 ","Contract salary ≥ £29,659 and < £39,105 ","Contract salary ≥ £39,105 and < £52,183 ","Contract salary ≥ £52,183 and < £69,757 ","Contract salary ≥ £69,757 ","Total"
"10007783","The University of Aberdeen","0","0","55","270","455","255","1,040"
"10007849","Abertay University","0","0","20","70","70","35","195"
"10007856","Aberystwyth University","0","0","30","135","165","85","415"
"10067853","ACM Guildford Limited","0","0","5","10","10","0","25"
"10000291","Anglia Ruskin University","0","5","80","390","410","90","975"
"10005451","Arden University","0","0","25","250","50","20","340"
"10007759","Aston University","0","15","70","285","435","125","935"
"10038772","British Academy of Jewellery Limited","0","5","5","0","0","0","10"
"10007857","Bangor University","0","0","60","260","205","105","630"
"10000571","Bath Spa University","0","0","20","125","175","25","350"
"10007850","The University of Bath","0","0","60","325","545","280","1,215"
"10007152","University of Bedfordshire","0","0","5","185","235","45","475"
"10005343","Queen's University Belfast","0","0","175","595","570","495","1,840"
"10037544","BIMM University","0","0","20","60","20","0","100"
"10007760","Birkbeck College","0","0","5","70","105","155","335"
"10007140","Birmingham City University","0","10","105","430","595","135","1,275"
"10006840","The University of Birmingham","0","0","450","735","1,295","835","3,310"
"10000712","University College Birmingham","0","5","50","170","50","15","290"
"10007832","Birmingham Newman University","0","0","10","55","60","10","140"
"10004061","Bloomsbury Institute","0","0","0","10","10","5","20"
"10000385","The Arts University Bournemouth","0","5","55","95","10","5","175"
"10000824","Bournemouth University","0","5","55","240","205","155","655"
"10007785","The University of Bradford","0","0","25","145","250","80","495"
"10000886","The University of Brighton","0","0","5","155","370","110","640"
"10007786","The University of Bristol","0","0","70","1,270","880","685","2,905"
"10000961","Brunel University London","0","0","15","185","475","300","980"
"10000975","Buckinghamshire New University","0","0","50","105","110","30","290"
"10008173","University of the Built Environment","0","0","5","15","10","5","35"
"10007788","The University of Cambridge","0","15","1,015","1,810","995","1,325","5,155"
"10003324","The Institute of Cancer Research","0","0","60","280","180","95","615"
"10001143","Canterbury Christ Church University","0","10","30","215","235","60","550"
"10007814","Cardiff University","0","0","145","745","785","805","2,480"
"10086359","Caspian School of Academics","0","0","0","0","0","0","0"
"10007854","Cardiff Metropolitan University","0","0","0","155","260","75","495"
"10001264","Central School of Ballet","0","0","0","5","0","0","10"
"10024024","Central Film School","0","0","0","0","0","0","0"
"10007848","University of Chester","0","0","15","195","215","50","475"
"10007137","The University of Chichester","0","0","5","45","105","15","170"
"10001386","Chicken Shed Theatre Company","0","10","15","5","0","0","25"
"10001478","City St George's, University of London","0","0","5","175","435","525","1,140"
"10007912","Cliff College","0","0","5","0","0","0","5"
"10066502","The College of Health Ltd","0","0","0","0","5","0","5"
"10007761","Courtauld Institute of Art","0","0","0","10","15","20","45"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0"
"10001726","Coventry University","5","10","310","865","510","140","1,840"
"10007822","Cranfield University","0","15","100","170","240","135","660"
"10006427","University for the Creative Arts","0","5","50","95","95","15","255"
"10007842","University of Cumbria","0","0","15","120","130","15","280"
"10015688","David Game College Ltd","0","0","0","10","0","0","10"
"10001883","De Montfort University","0","0","35","450","315","155","955"
"10007851","University of Derby","0","20","60","350","340","85","860"
"10007852","The University of Dundee","0","0","80","455","440","220","1,200"
"10007143","University of Durham","0","5","90","600","615","525","1,835"
"10007789","The University of East Anglia","0","0","60","305","540","230","1,135"
"10007144","The University of East London","0","0","10","195","260","55","520"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","5","10","0","0","15"
"10007823","Edge Hill University","0","0","10","255","235","80","580"
"10007772","Edinburgh Napier University","0","0","5","115","425","80","625"
"10007790","The University of Edinburgh","0","5","170","1,930","1,495","1,130","4,735"
"10032295","Emmanuel Theological College","0","0","0","5","0","0","10"
"10042570","Escape Studios","0","0","0","5","10","10","30"
"10007791","The University of Essex","0","0","70","270","580","190","1,110"
"10007792","The University of Exeter","0","0","290","880","815","505","2,490"
"10008640","Falmouth University","0","5","40","65","95","5","210"
"10004511","The National Film and Television School","0","5","10","10","15","20","60"
"10022087","Futureworks","0","0","15","5","0","0","20"
"10007762","Glasgow Caledonian University","0","0","0","80","430","90","600"
"10002681","Glasgow School of Art","0","0","0","5","60","20","85"
"10007794","The University of Glasgow","0","0","280","1,105","1,045","885","3,310"
"10007145","University of Gloucestershire","0","0","25","140","140","35","340"
"10002718","Goldsmiths College","0","0","5","40","170","135","345"
"10006841","University of Greater Manchester","0","0","40","210","135","20","405"
"10007146","The University of Greenwich","0","10","85","420","410","110","1,035"
"10007825","Guildhall School of Music and Drama","0","0","25","95","70","70","260"
"10040812","Harper Adams University","0","0","0","35","80","25","140"
"10080811","Hartpury University","0","20","40","50","25","10","145"
"10000163","Health Sciences University","0","5","0","25","25","10","65"
"10007764","Heriot-Watt University","0","0","55","270","335","215","875"
"10007147","University of Hertfordshire","0","5","95","415","430","140","1,090"
"10007148","The University of Huddersfield","0","0","30","205","190","70","490"
"10007149","The University of Hull","0","0","25","250","290","105","670"
"10003239","ICON College of Technology and Management","0","0","5","25","5","5","40"
"10003270","Imperial College of Science, Technology and Medicine","0","0","0","1,165","1,185","1,660","4,005"
"10057622","The School of Information Risk Management","0","5","5","0","0","0","10"
"10013220","Institute of Art - London Limited","0","0","0","0","10","5","15"
"10035638","Institute of Contemporary Music Performance","0","5","15","10","5","0","35"
"10082728","INTO University Partnerships Limited","0","10","60","35","5","5","120"
"10082570","Kaplan International Colleges U.K. Limited","0","5","115","70","5","0","200"
"10021682","Kaplan Open Learning (Essex) Limited","0","10","10","15","5","0","40"
"10007767","Keele University","0","5","30","225","305","120","685"
"10007150","The University of Kent","0","0","25","230","355","200","815"
"10003645","King's College London","0","0","90","1,330","1,210","1,425","4,055"
"10003678","Kingston University","0","5","25","180","355","95","665"
"10003758","LAMDA Limited","0","0","0","30","5","0","35"
"10007141","University of Lancashire","0","15","40","470","440","120","1,090"
"10007768","The University of Lancaster","0","0","125","420","460","290","1,295"
"10003854","Leeds Arts University","0","20","10","25","25","5","85"
"10003861","Leeds Beckett University","0","5","45","240","485","105","875"
"10034449","Leeds Conservatoire","0","0","0","15","5","0","20"
"10007795","The University of Leeds","0","0","170","1,250","1,015","745","3,185"
"10003863","Leeds Trinity University","0","0","0","95","85","35","215"
"10082828","College of Legal Practice Limited","0","0","0","0","5","0","5"
"10007796","The University of Leicester","0","0","100","540","575","315","1,535"
